"first order, semi-infinite-conc",,,,"first order, semi-infinite-mixed",,,,"first order, infinite",,,,"power law, semi-infinite-conc",,,,"power law, semi-infinite-mixed",,,,"power law, infinite",,,
v,Pe,beta*k_hat_f,k_hat_r,v,Pe,beta*k_hat_f,k_hat_r,v,Pe,beta*k_hat_f,k_hat_r,v,Pe,beta*alpha_hat,1-gamma,v,Pe,beta*alpha_hat,1-gamma,v,Pe,beta*alpha_hat,1-gamma
1.0794747447900057,912.0702530520593,2.4136903332102095,20.72731593935728,1.0339023979892175,494.45193557043876,0.9048872223182394,11.632568188024536,1.0344721464637339,514.3897029615956,0.8612824912204377,10.851864483870388,1.082129148730273,434.02872472634067,0.16474959506442835,0.23472319061581653,1.0609535163975308,415.3219596376759,0.14424756834899202,0.2923296524045474,1.0625218375480148,422.7707185485492,0.14570879509823556,0.30058963056793275
1.2386623412468702,2036.049315235018,0.4362753936855604,2.629863655662204,1.2390090096077253,2006.980432584021,0.4245670674846199,2.762442173114898,1.2404964266432683,1988.100320368633,0.463730405171253,3.093704613632384,1.269317088295744,3475.1623919086023,0.18968280580684735,0.49204004065784734,1.2735127725867958,3479.9484570006475,0.18312425150974843,0.4601335308247926,1.2724689973887184,3358.9205619247796,0.18071042243070795,0.46390844331716014
1.2222250764347875,2127.355745138662,0.5066328149552589,4.057111837629296,1.2205751847909,1959.3328531243167,0.43193845218759147,3.0285567455555307,1.2224782090511812,2025.267505046409,0.4851749874637444,3.7210642218554337,1.2555061083543224,4086.762882427085,0.208248066534704,0.47599073995384633,1.2588843223748774,3960.7769401556943,0.1938523411025937,0.4430957871774064,1.2591598423517774,3942.0453227185662,0.19899696911376644,0.44960036974123785
1.2076914619569505,2145.067665556037,0.4688270614018096,3.0302345910774515,1.2094321944745012,2227.4622293810758,0.5153160982246422,3.4460323290970263,1.2088966550611697,2153.3152293448074,0.4539651687759765,3.5296377333023496,1.2437922501052887,4012.4965707748424,0.20149453869489883,0.45933923868221016,1.2449127726474651,3943.724293041596,0.19373556909855386,0.4463450908985658,1.2428663436768415,4012.89829590209,0.1971385212739066,0.46259405728836783
1.2049779218766532,1970.2311645907307,0.563593500899347,4.308112851831588,1.204804016210122,1910.6013938011083,0.5488659887089058,4.081828440564492,1.2048791960368208,1900.2426274565191,0.527645666571273,3.885347972024625,1.2466611724002767,4172.037558020144,0.20884207501952412,0.417951318690867,1.2439332811988033,3070.521198640237,0.207805064836312,0.43681995498573367,1.2396420539832078,2727.1964270398444,0.20926259280574036,0.4619789930538219
1.1907668267814386,739.8408903837978,0.5827355827699605,12.499042102388767,1.1936460209333997,746.1835674134009,0.6132871544921911,13.538812300896609,1.1939726034813776,736.3812076275934,0.5812047187028058,12.92720586343669,1.2444744172897797,734.8394416113348,0.1202349014335175,0.21194357669687158,1.2127150563398497,683.0771021038163,0.09658016382508854,0.32042430405853,1.2418649179266954,755.2927100487773,0.1157071943044693,0.22687081738078532
1.2690399096263678,970.5438098874172,0.4416333390443631,11.34683911747767,1.264946036945439,897.5925044234144,0.3109739446530747,7.013997883200142,1.2649724824643276,860.5183700250444,0.27349416522886366,6.27307769872588,1.2875066531374648,1045.9258969110113,0.10958407590623119,0.4212527514522131,1.2939142410060662,1042.8872248886298,0.10649634069718616,0.3760856664233068,1.2960228388765502,1127.8121493321157,0.10244198337768462,0.36097640985317186
1.2258585032956224,1454.6167650621035,0.4508309994784042,12.395951269321152,1.2234164941760919,1302.375898236596,0.3444383057094509,9.625571906947568,1.2289002552023343,1482.7098445525353,0.49348965264461525,14.197797498078632,1.2702616774441065,1572.6915554049283,0.09488707157084625,0.2175091964503786,1.2690469524135377,1761.6384264683982,0.10258708709435253,0.24954002088228633,1.2654112416533674,1587.9472893863128,0.09204067864593858,0.24217128463005672
1.2326103029015583,1270.9367940199763,0.28123128009304804,3.8394391007817554,1.233903525558582,1275.571506365345,0.2858871317788259,4.227004804137666,1.2374536056831729,1308.7839755920968,0.3286562559590641,8.272377770732131,1.271557204451749,1992.3142726020442,0.11248647307051023,0.33441532828593146,1.2492941294400854,1512.326114519501,0.11549156469298681,0.5185101602277216,1.261087945464843,1664.740310896723,0.11197153206860318,0.4119885958848039
1.2316245960611079,1622.9889767079706,0.5236416726426448,16.207352138121788,1.230641265886087,1544.5818893089508,0.4637017618725733,14.197290487544642,1.2330383039233217,1611.2023864372845,0.5232923909827957,15.953007287903135,1.2752757007705635,1927.250270051665,0.10172751018045054,0.23044770262607261,1.272989589239855,1996.3613640281944,0.104155353584692,0.25048464517676894,1.2679366811347184,1930.0003213115276,0.0999697638535037,0.26921817003676674
1.2058193572350324,1766.0208580179835,0.38106425448618214,2.8063553137256823,1.2079190318496116,1826.6858118560715,0.4049043487643151,4.775959513416874,1.2075377177110198,1788.6907390706751,0.35871789128052606,4.007756338595913,1.214061828174374,1844.0237198798145,0.15658134469576843,0.6517052282991774,1.2248345054990941,2391.9626065188263,0.1602061445650834,0.5414027751185697,1.2248731542980018,2495.6168263912514,0.1610835981811062,0.5482517356604922
