Name,Discharge,Velocity,Shear Velocity,pH,Dissolved Solids,Vegetation,Temperature,Stream Slope,Stream Width,Channel Depth,Channel Cross Sectional Area,Bed Material,Manning's n,Drainage Area,Injection Latitude,Injection Longitude,Sampling Location,Stream Order,Sampling Order,Tracer Type,Mass Exchange Coefficient,Mass of Tracer Injection,Tracer Concentration,Background Concentration,Duration of Injection,Injection Date,Injection Note,Monitoring Method,"('Breakthrough curve', '')","('first order, semi-infinite-conc', 'v')","('', 'D')","('', 'beta*k_f')","('', 'k_r')","('first order, semi-infinite-mixed', 'v')","('', 'D')","('', 'beta*k_f')","('', 'k_r')","('first order, infinite', 'v')","('', 'D')","('', 'beta*k_f')","('', 'k_r')","('power law, semi-infinite-conc', 'v')","('', 'D')","('', 'beta*alpha')","('', 'gamma')","('power law, semi-infinite-mixed', 'v')","('', 'D')","('', 'beta*alpha')","('', 'gamma')","('power law, infinite', 'v')","('', 'D')","('', 'beta*alpha')","('', 'gamma')"
Narew River,2.666993918,0.353568,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.21,9.38784,0.8260080000000001,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,3.3007563400000004,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S1,1.0794747447900057,0.0039065884407613926,0.7893699164853212,6.778632464527664,1.0339023979892175,0.006901904208681071,0.2834396037438588,3.6436922043060145,1.0344721464637339,0.006638042084307641,0.26992987534621776,3.4010240046264544,1.082129148730273,0.00822951211494662,0.12680601277754872,0.7652768093841835,1.0609535163975308,0.00843188992161532,0.10351760450794718,0.7076703475954527,1.0625218375480148,0.008295573789300445,0.10363652102882485,0.6994103694320672
Narew River,4.655006478,0.359664,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.23,17.40408,0.743712,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,65.89925432,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S10,1.2386623412468702,0.040090838680403994,0.008200364422135032,0.04943171370444421,1.2390090096077253,0.040682892819131955,0.007982524646512196,0.05193823171942839,1.2404964266432683,0.041118543498478134,0.008729323517795678,0.058236311744365804,1.269317088295744,0.024069968588829926,0.027166055223447266,0.5079599593421527,1.2735127725867958,0.024116317559714353,0.02979432133040955,0.5398664691752074,1.2724689973887184,0.024964793458879194,0.028955822375275938,0.5360915566828399
Narew River,5.049998177,0.31699200000000005,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.22,17.00784,0.935736,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,73.40038806,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S11,1.2222250764347875,0.042170565553966206,0.00843618606589507,0.06755691566368194,1.2205751847909,0.04572510080520448,0.007182705296683207,0.05036187555758501,1.2224782090511812,0.0443054434615018,0.008080554686799125,0.06197405825674675,1.2555061083543224,0.02254954305305279,0.03003050842135164,0.5240092600461537,1.2588843223748774,0.023329412178746393,0.03199567423889071,0.5569042128225936,1.2591598423517774,0.02344539788153704,0.031990732534703595,0.5503996302587622
Narew River,5.13528852,0.28956,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.19,19.90344,0.8930640000000001,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,82.60903154,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S12,1.2076914619569505,0.0465095920624627,0.006853953237730118,0.04430010103191738,1.2094321944745012,0.044853744759836646,0.007544452076309459,0.05045141389887662,1.2088966550611697,0.04637768801595064,0.006643304779354847,0.05165255141988679,1.2437922501052887,0.025607118013888767,0.029323696550678232,0.5406607613177898,1.2449127726474651,0.026077136954436333,0.029786421202967577,0.5536549091014342,1.2428663436768415,0.02558549392832899,0.02829085874585494,0.5374059427116322
Narew River,5.8229914665389995,0.301752,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.19,18.01368,1.069848,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,90.20028832,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S13,1.2049779218766532,0.05516578862718691,0.007528997280891207,0.057551710400232665,1.204804016210122,0.056879299881092714,0.007331195496977199,0.05452092659866123,1.2048791960368208,0.057192933840643376,0.007048195724999073,0.05189977801676635,1.2466611724002767,0.026953064449692383,0.03488626318227237,0.582048681309133,1.2439332811988033,0.036542050471647686,0.031988328682413414,0.5631800450142663,1.2396420539832078,0.04100037297432581,0.028875369108206886,0.5380210069461782
Narew River,2.73900366,0.377952,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.25,9.69264,0.7467600000000001,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,9.21025282,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S2,1.1907668267814386,0.0148238136968029,0.0753401903627243,1.6159648375503632,1.1936460209333997,0.014733347276050163,0.07948183247038935,1.7546260398017397,1.1939726034813776,0.014933555370927463,0.07534456705014216,1.6758204082075605,1.2444744172897797,0.015597861739875681,0.07866672259700884,0.7880564233031284,1.2127150563398497,0.016351612772715948,0.05043711561769733,0.67957569594147,1.2418649179266954,0.01514365187194081,0.07344090405454812,0.7731291826192147
Narew River,3.6280110713340004,0.39624000000000004,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.31,11.61288,0.789432,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,15.71037708,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S3,1.2690399096263678,0.020542190168738553,0.0356738943829889,0.916565631420783,1.264946036945439,0.022140090440071262,0.025038562529665083,0.5647432127388324,1.2649724824643276,0.02309444561277627,0.022021278761633938,0.5050974033812871,1.2875066531374648,0.019339051718230187,0.03820171151148303,0.5787472485477869,1.2939142410060662,0.019491926020628086,0.041643967522142035,0.6239143335766932,1.2960228388765502,0.0180535451006627,0.04162299649494915,0.6390235901468282
Narew River,3.988994237,0.371856,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.28,12.8016,0.8351520000000001,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,26.59917152,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S4,1.2258585032956224,0.02241609018373896,0.020777151417829803,0.571284043884969,1.2234164941760919,0.024986538228362724,0.0158422793023521,0.44272369265272793,1.2289002552023343,0.022045937571125683,0.022799565754094548,0.65594813566208,1.2702616774441065,0.021484128987339268,0.04896467220758047,0.7824908035496214,1.2690469524135377,0.01916147890906971,0.04801234361152311,0.7504599791177137,1.2654112416533674,0.021196478551301343,0.04402255562462441,0.7578287153699432
Narew River,4.035009113,0.353568,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.24,15.20952,0.749808,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,31.20993062,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S5,1.2326103029015583,0.030268760976991715,0.01110699596104661,0.15163546021963845,1.233903525558582,0.030190423063140157,0.011302721050833409,0.16711719721146015,1.2374536056831729,0.029508950215690492,0.013031008428652369,0.32799443948157686,1.271557204451749,0.0199191526537978,0.038572466175336384,0.6655846717140685,1.2492941294400854,0.025781729700664766,0.021770374155859477,0.48148983977227844,1.261087945464843,0.023642406582006417,0.029852586955096405,0.588011404115196
Narew River,4.109001034,0.368808,,,,"~90% rich wetland ecosystems, marshes and peatlands",,0.24,13.19784,0.8321040000000001,,"Postglacial mineral soils, sand dunes. Mud soils",,,,,37.589354379999996,,,Rhodamine WT,,24,,,,6/28/2006,"~90% rich wetland ecosystems, marshes and peatlands",in situ electronic Turner Designs SCUFA  fluorometer ,NAR 6-28-06 S6,1.2316245960611079,0.028525131143139926,0.017157250348848914,0.5310379457050516,1.230641265886087,0.029949212131925425,0.015181173835965005,0.46480637472828124,1.2330383039233217,0.028766785700197323,0.017165486688345884,0.5233042539091483,1.2752757007705635,0.02487315269499611,0.04664494161745363,0.7695522973739274,1.272989589239855,0.02396903569373613,0.04460761966630587,0.7495153548232311,1.2679366811347184,0.02469477373256918,0.04014101254617906,0.7307818299632333
